text,clean_text,labels
"Метки: 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:
1. В каком городе",метки 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему 1 в каком городе,1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0
"Метки: 0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:

Сила огня
",метки 0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему сила огня,0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0
"Метки: 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:



А теперь",метки 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 напиши короткий связный текст по русски 2 3 предложения на эту тему а теперь,1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1
"Метки: 1 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:

Ответы для пользователей",метки 1 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему ответы для пользователей,1 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0
"Метки: 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:


31535",метки 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1 напиши короткий связный текст по русски 2 3 предложения на эту тему 31535,1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1
"Метки: 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 1. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:

&lt;!",метки 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 1 напиши короткий связный текст по русски 2 3 предложения на эту тему lt,1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 1
"Метки: 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:

Две проблемы,",метки 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему две проблемы,1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0
"Метки: 1 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:


Какие правила",метки 1 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему какие правила,1 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0
"Метки: 0 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:





",метки 0 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему,0 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0
"Метки: 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0. Напиши короткий связный текст по-русски (2-3 предложения) на эту тему:




1",метки 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 напиши короткий связный текст по русски 2 3 предложения на эту тему 1,0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0
